d1017,65.2,Ketamine Injection,7364,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1000 mg / 10 mL (NDC 67457-108-10)
d1018,428.74,Ketamine Injection,9231,"Hospira, Inc.",500 mg/5 mL (100 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-2051-05)
d1019,350.69,Ketamine Injection,7712,"Hospira, Inc.",500 mg/10 mL (50 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-2053-10)
d102,386.6,Atropine Sulfate Injection,1088,"Hospira, Inc.",1 mg/10 mL (0.1 mg/mL); Ansyr Plastic Syringe
d1020,357.42,Ketoprofen Capsules,6047,"Mylan Pharmaceuticals Inc., a Viatris Company","200 mg Extended-Release Capsules, bottle of 100 (NDC 0378-8200-01)"
d1021,734.78,Ketoprofen Capsules,2394,Teva Pharmaceuticals,"50 mg, 100 count bottle (NDC 0093-3193-01)"
d1022,981.78,Ketoprofen Capsules,2533,Teva Pharmaceuticals,"75 mg, 100 count bottle (NDC 0093-3195-01)"
d1023,435.7,Ketoprofen Capsules,9465,Teva Pharmaceuticals,"75 mg, 500 count bottle (NDC 0093-3195-05)"
d1024,44.71,Ketoprofen Capsules,591,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 1000 count bottle (NDC 23155-020-10)"
d1025,314.77,Ketoprofen Capsules,3232,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 100 count bottle (NDC 69336-127-10)"
d1026,429.87,Ketoprofen Capsules,7108,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 1000 count bottle (NDC 69336-127-11)"
d1027,70.42,Ketoprofen Capsules,1571,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 100 count bottle (NDC 23155-020-01)"
d1028,514.48,Ketoprofen Capsules,2886,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 1000 count bottle (NDC 23155-020-10)"
d1029,828.45,Ketoprofen Capsules,8290,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","25 mg, 100 count bottle (NDC 23155-020-01)"
d1030,851.02,Ketoprofen Capsules,8366,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","50 mg, 100 count bottle (NDC 23155-021-01)"
d1031,963.52,Ketoprofen Capsules,5764,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)","75 mg, 100 count bottle (NDC 23155-022-01)"
d1032,309.11,Ketorolac Tromethamine Injection,4106,Baxter Healthcare,"Ketorolac Tromethamine Injection, USP, 15 mg/mL. Single dose glass flip top vial. 10 units per carton (NDC 0338-0069-10)"
d1033,905.08,Ketorolac Tromethamine Injection,3596,Gland Pharma Limited,"30 mg/mL, 1 mL vial (NDC 72266-118-25)"
d1034,600.04,Ketorolac Tromethamine Injection,2321,Gland Pharma Limited,"30 mg/mL, 2 mL vial (NDC 72266-119-25)"
d1035,690.76,Ketorolac Tromethamine Injection,1949,Baxter Healthcare,"Ketorolac Tromethamine Injection, USP, 30 mg/ mL.  Single dose glass flip top vial - 25 units per carton (NDC 0338-0072-25)"
d1036,512.35,Ketorolac Tromethamine Injection,3034,"Fresenius Kabi USA, LLC","15 mg per mL, Single Dose, Simplist Syringe, (NDC 76045-107-10)"
d1037,12.69,Ketorolac Tromethamine Injection,9604,"Fresenius Kabi USA, LLC","30 mg per mL, Single Dose, Simplist Syringe, (NDC 76045-104-10)"
d1038,47.17,Ketorolac Tromethamine Injection,3385,"Fresenius Kabi USA, LLC","60 mg per 2 mL, Single Dose, Simplist Syringe, (NDC 76045-105-20)"
d1039,552.49,Ketorolac Tromethamine Injection,6334,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","15 mg/mL, 1 mL vial (NDC 0641-6041-25)"
d104,981.27,Atropine Sulfate Injection,1649,"Hospira, Inc.",0.25 mg/5 mL (0.05 mg/mL); Ansyr Plastic Syringe
d1040,107.44,Ketorolac Tromethamine Injection,8068,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","30 mg/mL, 1 mL vial (NDC 0641-6042-25)"
d1041,481.81,Ketorolac Tromethamine Injection,6365,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","30 mg/mL, 2 mL vial (NDC 0641-6043-25)"
d1042,339.89,Ketorolac Tromethamine Injection,3712,Gland Pharma Limited,15 mg/mL vial (NDC 70860-700-01 and 70860-700-02)
d1043,78.65,Ketorolac Tromethamine Injection,6140,Gland Pharma Limited,30 mg/mL vial (NDC 70860-701-01 and 70860-701-03)
d1044,219.59,Ketorolac Tromethamine Injection,1461,Gland Pharma Limited,60 mg/mL vial (NDC 70860-701-02 and 70860-701-04)
d1045,580.53,Ketorolac Tromethamine Injection,985,Sagent Pharmaceuticals,KETOROLAC TROMETHAMINE INJECTION 15MG/ML 25X1ML (NDC 25021-700-01)
d1046,498.96,Ketorolac Tromethamine Injection,5065,Sagent Pharmaceuticals,KETOROLAC TROMETHAMINE INJECTION 30MG/ML 25X2ML (NDC 25021-701-02)
d1047,538.15,Ketorolac Tromethamine Injection,6144,Sagent Pharmaceuticals,KETOROLAC TROMETHAMINE INJECTION 30MG/ML 25X1ML (NDC 25021-701-01)
d1048,700.57,Ketorolac Tromethamine Injection,7830,"Hospira, Inc.",30 mg/mL (30 mg/mL); iSecure Luer Lock Glass Syringe (NDC 00409-2287-23)
d1049,123.65,Ketorolac Tromethamine Injection,8790,"Hospira, Inc.",30 mg/mL (30 mg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-2287-31)
d1050,407.55,Ketorolac Tromethamine Injection,9116,"Hospira, Inc.",60 mg/2 mL (30 mg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-2287-61)
d1051,98.64,Ketorolac Tromethamine Injection,9215,"Hospira, Inc.",15 mg/mL (15 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-3793-01)
d1052,735.28,Ketorolac Tromethamine Injection,5544,"Hospira, Inc.",30 mg/mL (30 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-3795-01)
d1053,387.71,Ketorolac Tromethamine Injection,9186,"Hospira, Inc.",60 mg/2 mL (30 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-3796-01)
d1054,519.08,Ketorolac Tromethamine Injection,3008,Virtus Pharmaceuticals,30MG/ML (NDC 69543-0386-25)
d1055,495.96,Ketorolac Tromethamine Injection,2953,"Fresenius Kabi USA, LLC","15 mg per mL, Single Dose Amber Vial, (NDC 63323-161-01)"
d1056,414.68,Ketorolac Tromethamine Injection,6203,"Fresenius Kabi USA, LLC","30 mg per mL, Single Dose Amber Vial, (NDC 63323-162-01)"
d1057,334.1,Ketorolac Tromethamine Injection,8963,"Fresenius Kabi USA, LLC","30 mg per mL, Single Dose Amber Vial, (NDC 63323-162-02)"
d1058,348.03,Lamivudine and Tenofovir Disoproxil Fumarate Tablets,9226,"Celltrion, Inc.",300 mg; 300 mg (NDC 72606-002-01)
d1059,366.72,Lamivudine and Zidovudine Tablets,7242,Mylan Pharmaceuticals Inc.,Lamivudine and Zidovudine Tablets 150mg and 300mg (NDC 0378-5180-91)
d106,561.56,Atropine Sulfate Injection,3123,"Hospira, Inc.",0.5 mg/5 mL (0.1 mg/mL); LifeShield Abboject Glass Syringe (NDC 0409-4910-34)
d1060,469.25,Lamivudine Tablets,6148,Mylan Pharmaceuticals Inc.,Lamivudine Tablets 100mg (NDC 0378-5168-93)
d1061,382.74,Lamivudine Tablets,1784,Mylan Pharmaceuticals Inc.,Lamivudine Tablets 150mg (NDC 0378-5169-91)
d1062,55.86,Lamivudine Tablets,3976,Mylan Pharmaceuticals Inc.,Lamivudine Tablets 300mg (NDC 0378-5170-93)
d1063,597.91,Lanoxin (digoxin) Tablets,2391,Concordia Pharmaceuticals Inc.,Lanoxin (digoxin) 187.5 mcg (0.1875 mg) tablets; 100-count bottles (NDC 59212-245-55)
d1064,604.11,Letermovir (Prevymis) Injection,1572,Merck Sharp & Dohme Corp.,480 mg injection (NDC 0006-5004-01)
d1065,253.73,Letermovir (Prevymis) Injection,1179,Merck Sharp & Dohme Corp.,240 mg injection (NDC 0006-5003-01)
d1066,702.94,Leucovorin Calcium Lyophilized Powder for Injection,5739,Teva Pharmaceuticals,"100mg/vial, 20mL (NDC 0703-5140-01)"
d1067,343.47,Leucovorin Calcium Lyophilized Powder for Injection,5489,Teva Pharmaceuticals,350mg/vial 30mL (NDC 0703-5145-01)
d1068,123.35,Leucovorin Calcium Lyophilized Powder for Injection,3821,"Fresenius Kabi USA, LLC",200 mg SDV (NDC 63323-710-50)
d1069,621.21,Leucovorin Calcium Lyophilized Powder for Injection,111,"Fresenius Kabi USA, LLC",500 mg SDV (NDC 63323-711-00)
d107,109.51,Atropine Sulfate Injection,8429,"Hospira, Inc.","1 mg/10 mL (0.1 mg/mL); LifeShield Abboject Glass Syringe (NDC 0409-4911-34, pack of 10; NDC 0409-4911-11, individual)"
d1070,984.93,Leucovorin Calcium Lyophilized Powder for Injection,4579,Sagent Pharmaceuticals,50 mg vial (NDC 25021-813-10)
d1071,570.13,Leucovorin Calcium Lyophilized Powder for Injection,827,Sagent Pharmaceuticals,100mg vial (NDC 25021-814-30)
d1072,785.11,Leucovorin Calcium Lyophilized Powder for Injection,3903,Sagent Pharmaceuticals,200mg vial (NDC 25021-815-30)
d1073,591.31,Leucovorin Calcium Lyophilized Powder for Injection,9692,Sagent Pharmaceuticals,350mg vial (NDC 25021-816-30)
d1074,510.1,Leucovorin Calcium Lyophilized Powder for Injection,9111,Sagent Pharmaceuticals,500mg vial (NDC 25021-828-50)
d1075,276.04,Leucovorin Calcium Lyophilized Powder for Injection,6867,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg, 10 mL vial (NDC 0143-9555-01)"
d1076,90.64,Leucovorin Calcium Lyophilized Powder for Injection,5946,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","100 mg, 20 mL vial (NDC 0143-9554-01)"
d1077,248.72,Leucovorin Calcium Lyophilized Powder for Injection,5374,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","200 mg, 30 mL vial (NDC 0143-9553-01)"
d1078,942.61,Leucovorin Calcium Lyophilized Powder for Injection,5445,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","350 mg, 50 mL vial (NDC 0143-9552-01)"
d1079,746.02,Leucovorin Calcium Lyophilized Powder for Injection,431,"Fresenius Kabi USA, LLC","100 mg per 10 mL (10 mg per mL) Single dose amber vial, liquid (NDC 63323-631-10)"
d108,813.46,Atropine Sulfate Injection,4266,American Regent/Luitpold,"1 mg/mL, 1 mL single-dose vial, package of 25 (NDC 00517-1010-25)"
d1080,423.2,Leucovorin Calcium Lyophilized Powder for Injection,4375,"Fresenius Kabi USA, LLC","500 mg per 50 mL (10 mg per mL) Single dose amber vial, liquid (NDC 63323-631-50)"
d1081,783.48,Leucovorin Calcium Lyophilized Powder for Injection,7428,"Mylan Institutional, a Viatris company",100 mg vial (NDC 67457-528-10)
d1082,582.53,Leucovorin Calcium Lyophilized Powder for Injection,1087,"Mylan Institutional, a Viatris company",200 mg vial (NDC 67457-529-20)
d1083,489.38,Leucovorin Calcium Lyophilized Powder for Injection,5369,"Mylan Institutional, a Viatris company",350 mg vial (NDC 67457-530-35)
d1084,761.73,Leuprolide Acetate Injection,9696,"Tolmar Pharmaceuticals, Inc.",Eligard 22.5 mg (NDC 62935-223-05)
d1085,953.01,Leuprolide Acetate Injection,297,"Tolmar Pharmaceuticals, Inc.",Eligard 30 mg (NDC 62935-303-30)
d1086,181.37,Leuprolide Acetate Injection,2542,"Tolmar Pharmaceuticals, Inc.",Eligard 45 mg (NDC 62935-453-45)
d1087,719.56,Leuprolide Acetate Injection,2014,"Tolmar Pharmaceuticals, Inc.",Fensolvi 45 mg (NDC 62935-153-50)
d1088,880.44,Leuprolide Acetate Injection,2602,"Tolmar Pharmaceuticals, Inc.",Eligard 7.5 mg Kit (NDC 62935-753-75)
d1089,872.27,Leuprolide Acetate Injection,1790,Abbvie,"Lupron Depot PED, 3 Months, 30mg (NDC 0074-9694-03)"
d109,831.64,Atropine Sulfate Injection,7351,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","0.4 mg/mL, 20 mL vial (NDC 0641-6006-10)"
d1090,79.26,Leuprolide Acetate Injection,5554,Abbvie,"Lupron Depot, 3 Months 22.5 mg PDS Kit (NDC 0074-3346-03)"
d1091,525.34,Leuprolide Acetate Injection,9238,Abbvie,Lupron Depot 6 Months 45mg PDS Kit (NDC 0074-3473-03)
d1092,243.89,Leuprolide Acetate Injection,5453,Abbvie,"Lupron Depot, 1 Month 7.5 mg PDS Kit (NDC 0074-3642-03)"
d1093,398.83,Leuprolide Acetate Injection,1536,Abbvie,"Lupron Depot, 4 Months 30 mg PDS Kit (NDC 0074-3683-03)"
d1094,967.95,Leuprolide Acetate Injection,195,Abbvie,"Lupron Depot, 1 Month 3.75 mg PDS Kit (NDC 0074-3641-03)"
d1095,94.03,Leuprolide Acetate Injection,369,Abbvie,"Lupron Depot, 3 Months 11.25 mg PDS Kit (NDC 0074-3663-03)"
d1096,30.22,Leuprolide Acetate Injection,7281,Abbvie,"Lupron Depot PED, 1 Month 11.25 mg PDS Kit (NDC 0074-2282-03)"
d1097,608.08,Leuprolide Acetate Injection,5426,Abbvie,"Lupron Depot PED, 1 Month 15 mg PDS Kit (NDC 0074-2440-03)"
d1098,853.57,Leuprolide Acetate Injection,5359,Abbvie,"Lupron Depot PED, 1 Month 7.5 mg PDS Kit (NDC 0074-2108-03)"
d1099,627.06,Leuprolide Acetate Injection,9727,Abbvie,"Lupron Depot PED, 3 Months, 11.25mg (NDC 0074-3779-03)"
d11,379.1,Acyclovir Ointment 5%,140,"Tolmar Pharmaceuticals, Inc.",15 mg (NDC 63646-300-15)
d110,538.8,Atropine Sulfate Ophthalmic Ointment,8155,Bausch Health,"1% (10 mg/g), 3.5 g tube (NDC 24208-825-55)"
d1100,981.42,"Levetiracetam Extended-Release Oral Tablets, USP",5629,Apotex Corp.,Levetiracetam Extended-Release Tablets 500 mg (60 ct. bottle)(NDC 60505-3280-06)
d1101,120.9,"Levetiracetam Extended-Release Oral Tablets, USP",9423,Apotex Corp.,Levetiracetam Extended-Release Tablets 750 mg (60 ct. bottle)(NDC 60505-3517-06)
d1102,23.52,"Levetiracetam Extended-Release Oral Tablets, USP",1247,Sun Pharmaceutical Industries Inc.,500mg tablet 60 count bottle (NDC 4733557386)
d1103,826.91,"Levetiracetam Extended-Release Oral Tablets, USP",6890,Sun Pharmaceutical Industries Inc.,750mg tablet 60 count bottle (NDC 4733557686)
d1104,19.07,"Levetiracetam Extended-Release Oral Tablets, USP",5325,Lupin,500mg  60 count bottle (NDC 68180-117-07)
d1105,273.58,"Levetiracetam Extended-Release Oral Tablets, USP",5789,Lupin,750mg 60 count bottle (NDC 68180-118-07)
d1106,98.08,"Levetiracetam Extended-Release Oral Tablets, USP",7044,UCB Inc.,500mg extended-release (NDC 50474-598-66)
d1107,74.16,"Levetiracetam Extended-Release Oral Tablets, USP",9303,UCB Inc.,750mg extended-release (NDC 50474-599-66)
d1108,801.72,"Levetiracetam Extended-Release Oral Tablets, USP",4846,"Solco Healthcare US, LLC","Levetiracetam ER Tablets, 500mg, 60’s (NDC 43547-0345-06)"
d1109,402.64,"Levetiracetam Extended-Release Oral Tablets, USP",8488,"Solco Healthcare US, LLC","Levetiracetam ER Tablets, 500mg, 500’s (NDC 43547-0345-50)"
d111,566.24,Azacitidine for Injection,9372,"Meitheal Pharmaceuticals, Inc.",100 mg per vial (NDC 71288-115-30)
d1110,479.58,"Levetiracetam Extended-Release Oral Tablets, USP",9013,"Solco Healthcare US, LLC","Levetiracetam ER Tablets, 750mg, 60’s (NDC 43547-0346-06)"
d1111,681.26,"Levetiracetam Extended-Release Oral Tablets, USP",5390,"Solco Healthcare US, LLC","Levetiracetam ER Tablets, 750mg, 500’s (NDC 43547-0346-50)"
d1112,702.94,"Levetiracetam Immediate-Release Oral Tablets, USP",3428,UCB Inc.,"250MG, (NDC 50474-594-40)"
d1113,731.08,"Levetiracetam Immediate-Release Oral Tablets, USP",7751,UCB Inc.,"500MG, (NDC 50474-595-40)"
d1114,757.2,"Levetiracetam Immediate-Release Oral Tablets, USP",1064,UCB Inc.,"750MG, (NDC 50474-596-40)"
d1115,860.21,"Levetiracetam Immediate-Release Oral Tablets, USP",5328,UCB Inc.,"1000MG, (NDC 50474-597-66)"
d1116,854.68,"Levetiracetam Immediate-Release Oral Tablets, USP",5124,Aurobindo Pharma,"250mg, 120 count (NDC 65862024508)"
d1117,622.02,"Levetiracetam Immediate-Release Oral Tablets, USP",3904,Aurobindo Pharma,"500mg , 120 count (NDC 65862024608)"
d1118,891.85,"Levetiracetam Immediate-Release Oral Tablets, USP",6382,Aurobindo Pharma,"1000mg, 60 count (NDC 65862031560)"
d1119,261.21,"Levetiracetam Immediate-Release Oral Tablets, USP",4494,Aurobindo Pharma,"750mg, 120 count (NDC 65862024708)"
d112,32.13,Azacitidine for Injection,2539,Cipla Limited,100 mg per vial (NDC 69097-805-40)
d1120,236.5,"Levetiracetam Immediate-Release Oral Tablets, USP",8414,Lupin,"Levetiracetam Tablets, 250 mg – 90 Count Bottes (68180-112-09)"
d1121,195.8,"Levetiracetam Immediate-Release Oral Tablets, USP",5719,Lupin,"Levetiracetam Tablets, 250 mg – 120 Count Bottes (68180-112-16)"
d1122,246.47,"Levetiracetam Immediate-Release Oral Tablets, USP",608,Lupin,"Levetiracetam Tablets, 250 mg – 500 Count Bottes (68180-112-02)"
d1123,229.09,"Levetiracetam Immediate-Release Oral Tablets, USP",3494,Lupin,"Levetiracetam Tablets, 500 mg – 90 Count Bottes (68180-113-09)"
d1124,974.75,"Levetiracetam Immediate-Release Oral Tablets, USP",2128,Lupin,"Levetiracetam Tablets, 750 mg – 90 Count Bottes (68180-114-09)"
d1125,569.13,"Levetiracetam Immediate-Release Oral Tablets, USP",9709,Lupin,"Levetiracetam Tablets, 750 mg – 500 Count Bottes (68180-114-02)"
d1126,772.92,"Levetiracetam Immediate-Release Oral Tablets, USP",6112,Lupin,"Levetiracetam Tablets, 500 mg – 120 Count Bottes (68180-113-16)"
d1127,154.98,"Levetiracetam Immediate-Release Oral Tablets, USP",3440,Lupin,"Levetiracetam Tablets, 500 mg – 500 Count Bottes (68180-113-02)"
d1128,317.87,"Levetiracetam Immediate-Release Oral Tablets, USP",819,Lupin,"Levetiracetam Tablets, 750 mg – 120 Count Bottes (68180-114-16)"
d1129,222.6,"Levetiracetam Immediate-Release Oral Tablets, USP",9002,Lupin,"Levetiracetam Tablets, 1000 mg – 60 Count Bottes (68180-115-07)"
d113,410.92,Azacitidine for Injection,7951,Teva Pharmaceuticals,100 mg/vial Lyophilized Powder (NDC 68001-0313-56)
d1130,935.25,"Levetiracetam Immediate-Release Oral Tablets, USP",5604,Camber Pharmaceuticals Inc.,"250mg, 120 count (NDC 31722053612)"
d1131,541.57,"Levetiracetam Immediate-Release Oral Tablets, USP",6529,Camber Pharmaceuticals Inc.,"250mg, 500 count (NDC 31722053605)"
d1132,947.28,"Levetiracetam Immediate-Release Oral Tablets, USP",6718,Camber Pharmaceuticals Inc.,"500mg, 120 count (NDC 31722053712)"
d1133,237.92,"Levetiracetam Immediate-Release Oral Tablets, USP",3655,Camber Pharmaceuticals Inc.,"500mg, 500 count (NDC 31722053705)"
d1134,165.9,"Levetiracetam Immediate-Release Oral Tablets, USP",8970,Camber Pharmaceuticals Inc.,"750mg, 120 count (NDC 31722053812)"
d1135,672.94,"Levetiracetam Immediate-Release Oral Tablets, USP",4943,Camber Pharmaceuticals Inc.,"750mg, 500 count (NDC 31722053805)"
d1136,604.48,"Levetiracetam Immediate-Release Oral Tablets, USP",5647,"Solco Healthcare US, LLC","Levetiracetam Tablets, 250mg – 120’s (NDC 43547-0221-15)"
d1137,426.57,"Levetiracetam Immediate-Release Oral Tablets, USP",6581,"Solco Healthcare US, LLC","Levetiracetam Tablets, 500mg – 120’s (NDC 43547-0222-15)"
d1138,934.29,"Levetiracetam Immediate-Release Oral Tablets, USP",5733,"Solco Healthcare US, LLC","Levetiracetam Tablets, 500mg – 1000’s (NDC 43547-0222-11)"
d1139,8.76,"Levetiracetam Immediate-Release Oral Tablets, USP",2961,"Solco Healthcare US, LLC","Levetiracetam Tablets, 750mg – 120’s (NDC 43547-0223-15)"
d114,492.88,Azacitidine for Injection,663,Breckenridge Pharmaceutical,100 mg per vial (NDC 51991-797-98)
d1140,186.62,"Levetiracetam Immediate-Release Oral Tablets, USP",7762,"Solco Healthcare US, LLC","Levetiracetam Tablets, 1000mg – 60’s (NDC 43547-0224-06)"
d1141,589.63,"Levetiracetam Immediate-Release Oral Tablets, USP",2131,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 250 mg, 120 count (NDC 0378-5613-78)"
d1142,751.75,"Levetiracetam Immediate-Release Oral Tablets, USP",3367,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 250 mg, 500 count (NDC 0378-5613-05)"
d1143,684.32,"Levetiracetam Immediate-Release Oral Tablets, USP",878,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 500 mg, 500 count (NDC 0378-5615-05)"
d1144,781.27,"Levetiracetam Immediate-Release Oral Tablets, USP",7873,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 500 mg, 120 count (NDC 0378-5615-78)"
d1145,419.18,"Levetiracetam Immediate-Release Oral Tablets, USP",4922,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 750 mg, 120 count (NDC 0378-5617-78)"
d1146,652.7,"Levetiracetam Immediate-Release Oral Tablets, USP",7624,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 750 mg, 500 count (NDC 0378-5617-05)"
d1147,755.83,"Levetiracetam Immediate-Release Oral Tablets, USP",451,Mylan Pharmaceuticals Inc.,"Levetiracetam Tablets, 1000 mg, 60 count (NDC 0378-5619-91)"
d1148,321.44,"Levetiracetam Immediate-Release Oral Tablets, USP",9850,Torrent Pharma Inc.,"250mg, 120 count bottle (NDC 13668-014-12)"
d1149,792.4,"Levetiracetam Immediate-Release Oral Tablets, USP",2717,Torrent Pharma Inc.,"500mg, 120 count bottle (NDC 13668-015-12)"
d115,548.93,Azacitidine for Injection,530,Celgene Corporation,"100 mg single-dose vial in cartons of 1 vial, (NDC 0781-3253-94)"
d1150,997.73,"Levetiracetam Immediate-Release Oral Tablets, USP",1542,Torrent Pharma Inc.,"750 mg, 120 count bottle (NDC 13668-016-12)"
d1151,47.83,"Levetiracetam Immediate-Release Oral Tablets, USP",5021,Torrent Pharma Inc.,"750 mg, 500 count bottle (NDC 13668-016-05)"
d1152,790.98,"Levetiracetam Immediate-Release Oral Tablets, USP",4713,Torrent Pharma Inc.,"1000 mg, 60 count bottle (NDC 13668-017-60)"
d1153,468.27,Levoleucovorin Calcium Pentahydrate Injection,5202,Ingenus Pharmaceuticals LLC,10 mg/1mL (NDC 50742-494-17)
d1154,648.74,Levoleucovorin Calcium Pentahydrate Injection,2058,Ingenus Pharmaceuticals LLC,10 mg 1mL (NDC 50742-495-25)
d1155,749.58,Lidocaine HCl Topical Jelly,9684,Teva Pharmaceuticals,"Lidocaine HCl Topical Jelly, 20 mg/1 mL (2%), 5 mL (NDC 0591-3012-26)"
d1156,197.83,Lidocaine HCl Topical Jelly,2370,Teva Pharmaceuticals,"Lidocaine HCl Topical Jelly, 20 mg/1 mL (2%), 30 mL (NDC 0591-3012-30)"
d1157,428.56,Lidocaine Hydrochloride (Xylocaine) and Dextrose Injection Solution-Premix Bags,7208,Baxter Healthcare,"Lidocaine Hydrochloride and 5% Dextrose Injection USP, 2 gram/500 mL (4mg/mL) in VIAFLEX Plus container. Product code 2B0973 (NDC 0338-0409-03)"
d1158,831.47,Lidocaine Hydrochloride (Xylocaine) and Dextrose Injection Solution-Premix Bags,8330,Baxter Healthcare,"Lidocaine Hydrochloride and 5% Dextrose Injection USP, 2 gram/250 mL (8mg/mL) in VIAFLEX Plus container. Product code 2B0962 (NDC 0338-0411-02)"
d1159,141.98,Lidocaine Hydrochloride (Xylocaine) and Dextrose Injection Solution-Premix Bags,9108,B. Braun Medical Inc.,0.8% Lidocaine Hydrochloride and 5% Dextrose in 250mL Excel Plastic container P5982 (NDC 00264-9598-20)
d116,68.07,Azacitidine for Injection,6268,Celgene Corporation,"100 mg single-dose vial in cartons of 1 vial, (NDC 0781-9253-94)"
